ResponseId,country,hate_definition,translated_hate_definition,translated_hate_definition_cleaned
R_3EG6y6BJhoE8ovw,bra,"Discurso de ódio é, por exemplo, exaltar stalin, que matou milhares, como um homem bom.","Hate speech is, for example, to exalt Stalin, who killed thousands as a good man.","Hate speech is, for example, to exalt Stalin, who killed thousands as a good man."
R_2TOhvPoPuX22OL2,bra,"Ofender alguém ou grupo, sem incorrer em injúria,calúnia ou difamação. Já temos esses tipos penais.","Offend someone or group, without incurring injury, slander or defamation.We already have these criminal types.","Offend someone or group, without incurring injury, slander or defamation.We already have these criminal types."
R_1liwrXWgPuCd0o8,bra,"Não sei, pois pessoas se odeiam por qualquer motivo.","I don't know, because people hate each other for any reason.","I don't know, because people hate each other for any reason."
R_87c7XpSFDjb6TGp,bra,"Racismo, homofobia, destruir natureza, machismo,","Racism, homophobia, destroy nature, machismo,","Racism, homophobia, destroy nature, machismo,"
R_2v6zaUzmhZzls0E,bra,incitação explícita a violência.,explicit incitement the violence.,explicit incitement the violence.
R_2tscr71oi2TaZwz,bra,"Discurso que incita a morte, perseguição, ataques sem discussão","Speech that incites death, persecution, attacks without discussion","Speech that incites death, persecution, attacks without discussion"
R_3QPD3ZVZlhSvnfc,bra,Discurso de Ódio é tudo aquilo que atenta à dignidade humana,Hate speech is all that attentive to human dignity,Hate speech is all that attentive to human dignity
R_25GCXaGCeJ3gITl,bra,"A favor de exterminios, de partidos de extrema direita, de sociedades racistas, xenofobia.","In favor of exterminations, extreme right parties, racist societies, xenophobia.","In favor of exterminations, extreme right parties, racist societies, xenophobia."
R_1rewNWBHx4O3YiD,bra,Um termo vazio usado para censurar qualquer um que pense diferente,An empty term used to censor anyone who thinks differently,An empty term used to censor anyone who thinks differently
R_3oL6GTPDUJD3Z7I,bra,São ideias que atingem de forma negativa alguns grupos ou pessoa na sociedade.,These are ideas that negatively reach some groups or person in society.,These are ideas that negatively reach some groups or person in society.
R_3L8EjCTN47RIUgN,bra,Ofender pessoalmente alguém ao falar diretamente com a pessoa ofendida.,Personally offend someone when speaking directly to the offended person.,Personally offend someone when speaking directly to the offended person.
R_xctgPeAZqrloVuF,bra,"Discurso é eu falar o que acho sem me importar, ódio falar de algo que está me incomodando","Speech is me to say what I think without caring, hate talking about something that is bothering me","Speech is me to say what I think without caring, hate talking about something that is bothering me"
R_2rUsWRRuDLxG34U,bra,Qualquer apologia a danos de qualquer natureza às pessoas,Any apology to damage of any kind to people,Any apology to damage of any kind to people
R_2tEWGMGqHj5LoU3,bra,"Racismo, Religião, Etnia, Política","Racism, religion, ethnicity, politics","Racism, religion, ethnicity, politics"
R_12Fr8mElBk6NywS,bra,Ofensa ou ameaças a integridade física por motivos de preconceito,Offense or threats to physical integrity for reasons of prejudice,Offense or threats to physical integrity for reasons of prejudice
R_2Xpah0870SxchY4,bra,Racismo,Racism,Racism
R_b1uu6d3EgKAMx8d,bra,"Ofensas dirigidas a segmentos sociais, específicos.",Offenses directed to specific social segments.,Offenses directed to specific social segments.
R_3Rf23XE9VnVE79g,bra,"Ameaça de morte, agressão verbal.","Threat of death, verbal aggression.","Threat of death, verbal aggression."
R_OBwc0hRQY13z2Lv,bra,"Qualquer tipo de discurso que produza graves ofensas a qualquer grupo, seja maioria ou minoria.","Any kind of speech that produces serious offenses to any group, whether majority or minority.","Any kind of speech that produces serious offenses to any group, whether majority or minority."
R_3CU8H06KmUA3UOZ,bra,Uma bobagem sem noção. Seus protagonistas devem ser calados na forma da lei,A nonsense nonsense.Their protagonists must be silent in the form of the law,A nonsense nonsense.Their protagonists must be silent in the form of the law
R_2QMKBS95lpZNeLc,bra,tem que ter mais paciencia,You have to have more patience,You have to have more patience
R_1eVKtPChFs6D4Ef,bra,"Incitar atos de violência, contra pessoas pacíficas.",Incite acts of violence against peaceful people.,Incite acts of violence against peaceful people.
R_32VgLfcG3deNtt7,bra,"Acredito que em uma democracia, todos têm diretos a expressão de opiniões","I believe that in a democracy, everyone has directly the expression of opinions","I believe that in a democracy, everyone has directly the expression of opinions"
R_3hoxOCqU1Z3ylBc,bra,"Qualquer discurso que ofenda a dignidade pessoal ou social, de gênero de qualquer ser humano","Any discourse that offends the personal or social dignity, gender of any human being","Any discourse that offends the personal or social dignity, gender of any human being"
R_bdzL4Wg1LSTLYBz,bra,Falas ou frases que incitem violência contra grupos ou indivíduos.,Lines or phrases that incite violence against groups or individuals.,Lines or phrases that incite violence against groups or individuals.
R_12LkBZXC3Q8P69I,bra,Discursos que se oponham a existência ou preguem violência contra determinado grupo,Discourses that oppose existence or preach violence against a particular group,Discourses that oppose existence or preach violence against a particular group
R_3KZsINShhIIFxBq,bra,Falar o que pensa pra ofender e humilhar,Talk what you think to offend and humiliate,Talk what you think to offend and humiliate
R_3siCqs8k83qBzFp,bra,"Tudo que busca destruir o outro, bem diferente de dar outro ponto de vista","Everything that seeks to destroy the other, quite different from giving another point of view","Everything that seeks to destroy the other, quite different from giving another point of view"
R_2WMa8cKPTK6WHVN,bra,Aquilo que ofende sem motivo a outrem!,What offends for no reason to another!,What offends for no reason to another!
R_8q3W4QKXT4Qbajn,bra,"O que compromete a legislação do país e da integridade física , psiquica e social dos indivíduos","Which compromises the legislation of the country and the physical, psychic and social integrity of individuals","Which compromises the legislation of the country and the physical, psychic and social integrity of individuals"
R_2SGlCwxRV1yivry,bra,Uma manifestação objetiva do incentivo à violência ou do desejo de violência para com alguém.,An objective manifestation of encouraging violence or the desire for violence to someone.,An objective manifestation of encouraging violence or the desire for violence to someone.
R_ZeOt75K0MCBcZKV,bra,"Algo que ameace diretamente alguém, incentivando crimes previstos na lei do país em questão","Something that directly threatens someone, encouraging crimes provided for in the law of the country in question","Something that directly threatens someone, encouraging crimes provided for in the law of the country in question"
R_Re42BQfjsz20Z5n,bra,"Quando há agressão e ofensas, sem ao menos deixar a outra parte se explicar.",,
R_2OOrANVPlnjKkqo,bra,"É o discurso que incita à desavenças, que promove a discórdia e provoca desastres sociais","It is the discourse that incites disagreements, which promotes discord and causes social disasters","It is the discourse that incites disagreements, which promotes discord and causes social disasters"
R_1OwowJ7E0fcBLsJ,bra,"Discursos que contenham incitação à violência contra a vida, valores.","Discourses that contain incitement to violence against life, values.","Discourses that contain incitement to violence against life, values."
R_24v0H2CmKGRp2Fa,bra,Ataque contra grupos específicos de pessoas.,Attack against specific groups of people.,Attack against specific groups of people.
R_3rVDxjbyLawN1Fw,bra,"Discursos de odio para mim e postar algo q  prejudica a outra pessoa  , desejar o mal","Hate speeches to me and post something that harms someone else, desire evil","Hate speeches to me and post something that harms someone else, desire evil"
R_1k09z65J4CJ1RUX,bra,Que coloca em risco de outra de pessoa,That puts it at risk of another person,That puts it at risk of another person
R_2bZwEJMerZP7uLw,bra,Qualquer discurso que ameace de morte pessoas.,Any speech that threatens death people.,Any speech that threatens death people.
R_3iPcZk2kgUJhiFc,bra,Ameaça direta e factível,Direct and feasible threat,Direct and feasible threat
R_3m1TBHIEygf6wgf,bra,Discursos que atentem contra a vida de outro.,Speeches that pay attention against the life of another.,Speeches that pay attention against the life of another.
R_UloH8gk0L95HWJr,bra,Discurso de ódio é aquele que quer calar o outro,Hate speech is one who wants to shut up,Hate speech is one who wants to shut up
R_2z91DGehv7k4fij,bra,Palavras que atacam diretamente uma pessoa e ou incitam outras a atacar também,Words that directly attack one person and or incite others to attack also,Words that directly attack one person and or incite others to attack also
R_3es2pdTMsADcMwn,bra,"Quando o discurso se retrata a alguém ou a alguma minoria, visando humilhar estes grupos sociais.","When speech portrays someone or minority, aiming to humiliate these social groups.","When speech portrays someone or minority, aiming to humiliate these social groups."
R_Rt6wldqcGyolOHT,bra,Tudo o que for contra as verdades pregadas pelo cristianismo,Everything that is against the truths preached by Christianity,Everything that is against the truths preached by Christianity
R_3XgXJybQHhdLtxn,bra,.?3/5$:,.?3/5$:,.?3/5$:
R_1f6LeSeU6TtaWjK,bra,"Discurso de ódio é quando ao invés de usar o discurso, usa-se violência.","Hate speech is when instead of using speech, violence is used.","Hate speech is when instead of using speech, violence is used."
R_2tkVngx7LXSQ5A5,bra,Como uma construção por aqueles que pretendem implantar censura nas mídias sociais.,As a construction by those who intend to implement censorship in social media.,As a construction by those who intend to implement censorship in social media.
R_2roqMeXx4NZRTyU,bra,Discurso em quem alguém instiga um crime que pode ferir fisicamente alguém,Speech in whom someone instigates a crime that can physically hurt someone,Speech in whom someone instigates a crime that can physically hurt someone
R_cBAhigzFgVqL0wV,bra,Discurso q incentiva a violência e a exclusão de  minorias,Discourse that encourages violence and the exclusion of minorities,Discourse that encourages violence and the exclusion of minorities
R_10pKnaAdAch9350,bra,Frescura,Fresh,Fresh
R_02FqhyWpRV6RIHf,bra,Perseguição e assédios constantes contra certos grupos de pessoas,Persecution and constant harassment against certain groups of people,Persecution and constant harassment against certain groups of people
R_2uBOEcSynddyrN9,bra,Falas que promovam efetivamente violência contra algum grupo específico.,Speeches that effectively promote violence against some specific group.,Speeches that effectively promote violence against some specific group.
R_2ErSRjNJrOzB09T,bra,Quando há ameaças diretas ou estímulo a agressão a determinada pessoa ou grupo. Falar idiotices ainda é um direito. Algumas pessoas simplesmente são idiotas e elas não deveriam ser privadas de usar redes sociais.,When there is direct threats or stimulation to aggression to a particular person or group.Talking idiocy is still a right.Some people are simply stupid and they should not be deprived of using social networks.,When there is direct threats or stimulation to aggression to a particular person or group.Talking idiocy is still a right.Some people are simply stupid and they should not be deprived of using social networks.
R_2v96MJpBsJC1XPB,bra,"Um discurso que se baseie em um adhominen que se estenda a uma categoria inteira de pessoas, e em que essa categoria seja historicamente discriminada","A speech that is based on an adhominen that extends to an entire category of people, and in which this category is historically discriminated against","A speech that is based on an adhominen that extends to an entire category of people, and in which this category is historically discriminated against"
R_1CjNnEyBsjBxtDL,bra,"Falar algo que seja mentira,em relação a religião ,etnia,condição social,e política,pq qdo se fala a vdd não pode ser considerado discurso de ódio,ex Aquele rapaz ""negro"" de ""esquerda"" é muito ""gordo"",se isso for vdd ,não e discurso de ódio é simplesmente a realidade","Saying something that is a lie, in relation to religion, ethnicity, social condition, and political, because when it comes to VDD can not be considered hate speech, ex that ""black"" boy ""is very"" fat "", if ifThis is VDD, not and hate speech is simply the reality","Saying something that is a lie, in relation to religion, ethnicity, social condition, and political, because when it comes to VDD can not be considered hate speech, ex that ""black"" boy ""is very"" fat "", if ifThis is VDD, not and hate speech is simply the reality"
R_2w01bVrwSS7KHZG,bra,"Discurso que defende o extermínio de determinados grupos, especialmente se for grupo subalterno, em alguma medida. Discurso contra a existência e a favor de medidas violentas em relação a determinado grupo.","Speech that defends the extermination of certain groups, especially if it is a subaltern group to some extent.Speech against existence and in favor of violent measures in relation to a particular group.","Speech that defends the extermination of certain groups, especially if it is a subaltern group to some extent.Speech against existence and in favor of violent measures in relation to a particular group."
R_3ZSvn4rLdOvQ3Yt,bra,"Esse conceito deveria ser banido, qualquer coisa que pode ""ofender"" uma minoria já tomam por discurso de ódio, acho isso muito exagero.","This concept should be banned, anything that can ""offend"" a minority already take hate speech, I find it very exaggerated.","This concept should be banned, anything that can ""offend"" a minority already take hate speech, I find it very exaggerated."
R_YS69AWIzCUpHFf3,bra,Considero discurso de ódio quando a narrativa apresentada fere e denigre a imagem e a integridade fisica e/ou moral de um individuo ou grupo se baseando em pré-conceitos.,I consider hate speech when the narrative presented hurts and denigrates the image and physical and/or moral integrity of an individual or group based on preconceptions.,I consider hate speech when the narrative presented hurts and denigrates the image and physical and/or moral integrity of an individual or group based on preconceptions.
R_b8CKlSHpdPJ5Jw5,bra,"A definição de expressar opiniões que atavam diretamente os direitos da vítima de viver em sua total liberdade, levando em conta os mesmos parâmetros a ela. Uma certa harmonia entre a liberdade e a integridade pessoal das pessoas deve sempre ser preservada.","The definition of expressing opinions that directly attacked the rights of the victim of living in his total freedom, taking into account the same parameters to her.A certain harmony between the freedom and the personal integrity of people must always be preserved.","The definition of expressing opinions that directly attacked the rights of the victim of living in his total freedom, taking into account the same parameters to her.A certain harmony between the freedom and the personal integrity of people must always be preserved."
R_vcsx5fUYBDj7IHf,bra,"discurso de ódio está sendo uma narrativa que a esquerda inventou para perseguir conservadores,o importante não é o que se diz ,mas quem diz.","Hate speech is being a narrative that the left has invented to pursue conservatives, the important thing is not what is said, but who says.","Hate speech is being a narrative that the left has invented to pursue conservatives, the important thing is not what is said, but who says."
R_2wmYcSPyj9BoZ4n,bra,"Ao responder essa pesquisa, considerei ""discurso de ódio"" qualquer fala que remeta a crimes contra a constituição ou direitos humanos.","In responding to this research, I considered ""hate speech"" any speech that refers to crimes against the constitution or human rights.","In responding to this research, I considered ""hate speech"" any speech that refers to crimes against the constitution or human rights."
R_qRbFbaxZBFD6cCZ,bra,"Eu considero discurso de ódio quando a pessoa deseja a morte de outra por discordar dela, independente do posicionamento político ou outras características.","I consider hate speech when the person wants the death of another for disagreeing with her, regardless of political positioning or other characteristics.","I consider hate speech when the person wants the death of another for disagreeing with her, regardless of political positioning or other characteristics."
R_aaDMh2PiJdvAbbX,bra,"Discursos que atacam pessoas por suas crenças, sexualidade, raça ou outros, insultando propositadamente.","Speechs that attack people for their beliefs, sexuality, race or others, purposely insulting.","Speechs that attack people for their beliefs, sexuality, race or others, purposely insulting."
R_xxTl8bW2kn8ekkF,bra," Ofensivo  com palavrões e expressões que além de desqualificarem, humilharam e injuriariam as possíveis  vítimas...","Offensive with profanity and expressions that besides disqualifying, humiliated, and disrupted the potential victims ...","Offensive with profanity and expressions that besides disqualifying, humiliated, and disrupted the potential victims ..."
R_3iQr6nhiCGCYIMv,bra,"O discurso de ódio ele se no momento em que pessoas incentivam a violência,  desrespeito ao direito das pessoas até de existir, incentivando o preconceito racial, religioso, orientação sexual, contra os povos indígenas.","The hate speech he is at the moment people encourage violence, disrespect for people's rights even to exist, encouraging racial, religious, sexual orientation against indigenous peoples.","The hate speech he is at the moment people encourage violence, disrespect for people's rights even to exist, encouraging racial, religious, sexual orientation against indigenous peoples."
R_27edNrba3KA2F5c,bra,"Um discurso que vise rebaixar uma pessoa ou grupo da condição humana com base em sua raça, orientação sexual, aparência, região de origem ou qualquer outra característica que não dependa da escolha da própria pessoa; um discurso que defenda que um grupo social deve ter menos direitos; um discurso que faça apologia a atos de agressão real ou que glorifique atos criminosos do passado, mesmo que contra grupos majoritários. O contexto do discurso deve ser analisado, e o autor deve ter o direito de explicar seu posicionamento.","A discourse that aims to lower a person or group of human condition based on their race, sexual orientation, appearance, region of origin or any other feature that does not depend on the choice of one's own;A discourse that argues that a social group must have less rights;A discourse that apologizes to acts of real aggression or glorifying criminal acts of the past, even against majority groups.The context of discourse must be analyzed, and the author must have the right to explain his position.","A discourse that aims to lower a person or group of human condition based on their race, sexual orientation, appearance, region of origin or any other feature that does not depend on the choice of one's own;A discourse that argues that a social group must have less rights;A discourse that apologizes to acts of real aggression or glorifying criminal acts of the past, even against majority groups.The context of discourse must be analyzed, and the author must have the right to explain his position."
R_297i0OyOvpbgcTY,bra,"Ofensas pesadas contra a raça, o sexo ou a orientação sexual de alguém, muitas vezes acompanhado de ameaça","Heavy offenses against one's race, sex or sexual orientation, often accompanied by threat","Heavy offenses against one's race, sex or sexual orientation, often accompanied by threat"
R_12KcSHwSmQ8SPNw,bra,"Um discurso violento, incitando o odio, que ofenda e diminua determinados grupos de pessoas. Indivíduos  que usam esse discurso , não aceitam que outras pessoas pensem de forma diferente","A violent speech, inciting hate, which offends and diminishes certain groups of people.Individuals who use this speech do not accept that other people think differently","A violent speech, inciting hate, which offends and diminishes certain groups of people.Individuals who use this speech do not accept that other people think differently"
R_tQYCNdGxcZLdBiF,bra,"Qualquer discurso que ferir os direitos humanos do indivíduo ou de um grupo de pessoas baseando-se em etnia, nacionalidade, gênero, orientação sexual, condições física/mentais, faixa etária e religião.","Any discourse that hurts the human rights of the individual or a group of people based on ethnicity, nationality, gender, sexual orientation, physical/mental conditions, age group and religion.","Any discourse that hurts the human rights of the individual or a group of people based on ethnicity, nationality, gender, sexual orientation, physical/mental conditions, age group and religion."
R_cBmUPSfjiBGuIMx,bra,"Conteúdo que agride a existência biopsicossocial de alguém ou algum grupo. Assume caráter dicotômico no discurso, qualificando com bom ou ruim temas sociais e privados que não interferem na existência de outrem.","Content that harms the biopsychosocial existence of someone or some group.It assumes dichotomous character in discourse, qualifying with good or bad social and private themes that do not interfere with the existence of others.","Content that harms the biopsychosocial existence of someone or some group.It assumes dichotomous character in discourse, qualifying with good or bad social and private themes that do not interfere with the existence of others."
R_2s0X3s7YNYYYnrc,bra,"Quando ameaça diretamente a integridade física de uma pessoa. Dizer que uma pessoa deveria morrer ou apanhar é discurso de ódio. Xingar de bicha, burro, heterotop, macho tóxico, vagabunda, minion, fascista, nazista, etc, apesar de ofensivo, não é discurso de ódio.","When it directly threatens a person's physical integrity.Saying that a person should die or catch up is hate speech.Cursement of Bicha, Donkey, Heterotop, toxic male, slut, minion, fascist, Nazi, etc., although offensive, it is not hate speech.","When it directly threatens a person's physical integrity.Saying that a person should die or catch up is hate speech.Cursement of Bicha, Donkey, Heterotop, toxic male, slut, minion, fascist, Nazi, etc., although offensive, it is not hate speech."
R_2BbpZv8oIx5gyIC,bra,"Ofensas diretas. Críticas a opiniões contrarias.
Vitimiamo. Racismo. Homofobia.
Heterofobia.
Ataque a religião.
Preconceito.","Direct offenses.Criticism of counterclaims.
Vitimiamo.Racism.Homophobia.
Heterophobia.
Attack to religion.
Prejudice.",Direct offenses.Criticism of counterclaims. Vitimiamo.Racism.Homophobia. Heterophobia. Attack to religion. Prejudice.
R_1jftUDTkCuDG2LU,bra,"Discurso de ódio é quando ferem profundamente uma pessoa por algo que ela deveria ter a liberdade de se expressar, pois é sua opinião, incitando outras a fazerem o mesmo,  desprezando-a.","Hate discourse is when they profoundly hurt a person for something they should have the freedom to express themselves, because it is their opinion, urging others to do the same, despising it.","Hate discourse is when they profoundly hurt a person for something they should have the freedom to express themselves, because it is their opinion, urging others to do the same, despising it."
R_2fkbuNpln5pkbfj,bra,"Discurso de ódio é quando alguém expõe abertamente 
seu desprezo e repúdio contra um ou um grupo de pessoas","Hate speech is when someone openly exposes
your contempt and repudiation against one or a group of people",Hate speech is when someone openly exposes your contempt and repudiation against one or a group of people
R_1DzL8XuVwRzJtWZ,bra,"A discordância de pensamentos, credos e origem geográfica levam as pessoas a se manifestarem de maneiras muito agressivas contra as manifestações de pensamentos discordantes.......""","The disagreement of thoughts, creeds and geographical origin lead people to manifest in very aggressive ways against the manifestations of disagreeing thoughts ....... ""","The disagreement of thoughts, creeds and geographical origin lead people to manifest in very aggressive ways against the manifestations of disagreeing thoughts ....... """
R_2EuzQrb1AUfp8Kd,bra,Eu entendo por discurso de ódio quando uma pessoa ao expressar sua opinião ataca algo ou alguém com agressividade e intolerância não respeitando a opinião do próximo. Exemplo quando um bolsonarista que acha que só a sua opinião é valida e que todos os outros estão errados.,I mean by hate speech when a person expresses his opinion attacks something or someone with aggressiveness and intolerance not respecting the opinion of others.Example when a pocketist who thinks that only your opinion is valid and that everyone else is wrong.,I mean by hate speech when a person expresses his opinion attacks something or someone with aggressiveness and intolerance not respecting the opinion of others.Example when a pocketist who thinks that only your opinion is valid and that everyone else is wrong.
R_1d6IZ8MjzrlFC3L,bra,"Algo que ataca (gravemente) a integridade Física e psicológica de um indivíduo ou grupo, principalmente de minorias","Something that attacks (severely) the physical and psychological integrity of an individual or group, especially minority","Something that attacks (severely) the physical and psychological integrity of an individual or group, especially minority"
R_9KVQLGivSvOhChj,bra,"Discurso de ódio é apenas o que o grupo que eu não gosto fala. Não importa o que é dito, e sim quem diz","Hate speech is just what the group I don't like says.No matter what is said, but who says","Hate speech is just what the group I don't like says.No matter what is said, but who says"
R_3sjfbg2ITbQXMxF,bra,"Todo discurso que ataca agressivamente, em particular, raça, opção sexual, religião, posição política, e as minorias em geral. Ataques a pessoas que, por algum motivo, são consideradas ""não condizentes com a sociedade"".","Every discourse that attacks aggressively, in particular, race, sexual option, religion, political position, and minorities in general.Attacks to people who, for some reason, are considered ""not consistent with society.""","Every discourse that attacks aggressively, in particular, race, sexual option, religion, political position, and minorities in general.Attacks to people who, for some reason, are considered ""not consistent with society."""
R_1IQJbzRiTgOAaj8,bra,"Cada país tem sua legislação que defende os direitos e os limites. Nas redes sociais as conversas são entre diversos países, em cada qual legislação diferente. A única coisa que não pode acontecer é a rede social não ser um lugar nenhum, uma terra sem lei. Se existe comunicação internacional é preciso que hajam regras internacionais e as mídias sociais devem respeitá-las.","Each country has its legislation that defends rights and limits.In social networks conversations are among several countries, in each different legislation.The only thing that cannot happen is the social network is not any place, a landless land.If there is international communication, international rules need and social media must respect them.","Each country has its legislation that defends rights and limits.In social networks conversations are among several countries, in each different legislation.The only thing that cannot happen is the social network is not any place, a landless land.If there is international communication, international rules need and social media must respect them."
R_bxBN9dtYWnP0FFv,bra,"No momento em que EU defino o que é ""discurso de ódio"" crio a chance para que outro o defina por mim.","The moment I define what is ""hate speech"" I create the chance for another to define it for me.","The moment I define what is ""hate speech"" I create the chance for another to define it for me."
R_3lMQldwkacsPTrt,bra,"Um discurso que ponha em risco a integridade física de uma pessoa, como ameaças diretas ou exposição de dados pessoais.","A speech that endangers the physical integrity of a person, such as direct threats or exposure of personal data.","A speech that endangers the physical integrity of a person, such as direct threats or exposure of personal data."
R_vC7wj0lIwC6or4Z,bra,"Considero discurso de ódio a opinião contraposta a um comentário, opinião ou comportamento, na qual é manifestada a intenção de punir o outro, seja com execração pública, expulsão do país, pena de morte, etc. 
Não se deve confundir discurso de ódio com a opinião séria, embasada e equilibrada sobre um assunto. A opinião faz parte da democracia, desde que respeitando-se o direito, e a moral dos outros.","I consider the discourse of hate the opinion opposed to a comment, opinion or behavior, in which the intention to punish the other, either with public execration, expulsion of the country, death penalty, etc. is manifested.
There should be no confusion of hate speech with serious, based and balanced opinion on a subject.Opinion is part of democracy, as long as respecting the law, and the morals of others.","I consider the discourse of hate the opinion opposed to a comment, opinion or behavior, in which the intention to punish the other, either with public execration, expulsion of the country, death penalty, etc. is manifested. There should be no confusion of hate speech with serious, based and balanced opinion on a subject.Opinion is part of democracy, as long as respecting the law, and the morals of others."
R_1LFJvAIT1v85frV,bra,"Racismo, ofensas de todo tipo a gêneros, posições politico-partidarias, qualquer tipo de religião e raça.","Racism, offenses of all kinds to genres, political-party positions, any kind of religion and race.","Racism, offenses of all kinds to genres, political-party positions, any kind of religion and race."
R_3gGPHR5yg4uvgo9,bra,"Ofensa generalizada de um grupo só por uma experiência ruim com esse grupo ou divergência de opiniões, sem querer entender o outro lado e vice-versa.","Generalized offense of a group just for a bad experience with this group or divergence of opinions, not wanting to understand the other side and vice versa.","Generalized offense of a group just for a bad experience with this group or divergence of opinions, not wanting to understand the other side and vice versa."
R_2dt2BVMzunPVNdA,bra,"Ameaças, apologia a grupos e ideologias extremistas e ir contra a liberdade individual perante a constituição","Threats, apology to extremist groups and ideologies and go against individual freedom before the Constitution","Threats, apology to extremist groups and ideologies and go against individual freedom before the Constitution"
R_3R1oofaYJgi5uPW,bra,"Um tipo de discurso agressivo que caracterize racismo, odio de classe, machismo, xenofobia, homofobia e outras formas de exclusão social, discriminação e opressão.","A type of aggressive discourse that characterizes racism, class hate, machismo, xenophobia, homophobia and other forms of social exclusion, discrimination and oppression.","A type of aggressive discourse that characterizes racism, class hate, machismo, xenophobia, homophobia and other forms of social exclusion, discrimination and oppression."
R_1H0pND2RPSq1mZC,bra,"O ato de se expressar que leva o ouvinte/leitor a odiar aquilo que é o alvo da mensagem. Ex: o Discurso nazista alemão é um discurso que incita o ódio ao não ""ariano""; O discurso comunista/marxista incita o ódio contra a burguesia.

São situações extremas, que levam o alvo do discurso a morte ou a marginalização da sociedade. Neste caso não são inclusas situações que simplesmente ""ofendem"" o leitor/ouvinte.","The act of expressing itself that leads the listener/reader to hate what is the target of the message.Ex: German Nazi discourse is a discourse that incites hatred to not ""Aryan"";The communist/Marxist discourse incites hatred against the bourgeoisie.

These are extreme situations that lead the target of discourse to death or marginalization of society.In this case there are no situations that simply ""offend"" the reader/listener.","The act of expressing itself that leads the listener/reader to hate what is the target of the message.Ex: German Nazi discourse is a discourse that incites hatred to not ""Aryan"";The communist/Marxist discourse incites hatred against the bourgeoisie.  These are extreme situations that lead the target of discourse to death or marginalization of society.In this case there are no situations that simply ""offend"" the reader/listener."
R_1eWTFMgWRPM7XCk,bra,"Discurso de ódio é uma manifestação de idéias que incitem a discriminação racial, social ou religiosa em determinados grupos de pessoas, 'na maioria das vezes as minorias'...","Hate discourse is a manifestation of ideas that incite racial, social or religious discrimination in certain groups of people, 'most of the time the minorities' ...","Hate discourse is a manifestation of ideas that incite racial, social or religious discrimination in certain groups of people, 'most of the time the minorities' ..."
R_3j20fBDLJoL4YSj,bra,Acho q sentir ódio pelo q é explicitamente errado ou por marginais e comunistas é naturalmente correto. Como não odiar o q só traz desgraças???,I think feeling hatred for what is explicitly wrong or marginals and communists is naturally correct.How not to hate what only brings misfortunes ???,I think feeling hatred for what is explicitly wrong or marginals and communists is naturally correct.How not to hate what only brings misfortunes ???
R_AhxjjgnO9ZTSBPP,bra,"Tudo aquilo que eu fale que venha denegrir , ofender e envergonhar o outro constitui em um discurso de ódio.","Everything I say that you come to denigrate, offend and embarrass the other is a hate speech.","Everything I say that you come to denigrate, offend and embarrass the other is a hate speech."
R_3CIaeh7Mawkx3OS,bra,"É um discurso que denigre, ofende a imagem de alguém, sem fundamento lógico, baseado em pré conceitos errôneos.","It is a discourse that denigrates, offends the image of someone, without logical foundation, based on erroneous pre concepts.","It is a discourse that denigrates, offends the image of someone, without logical foundation, based on erroneous pre concepts."
R_2XamsltLxY4xrhg,bra,Quando uma pessoa ofende direta ou indiretamente outras pessoas por suas opiniões e suas orientações .,When a person directly or indirectly offends others for their opinions and their guidelines.,When a person directly or indirectly offends others for their opinions and their guidelines.
R_231XEiOQNAdcHo3,bra,"Dircuso de ódio seria ofender a raça, família, religião  e maneira como a pessoa vive ,seja ela homem ,mulher ou outras classes:gays,lésbicas  ,etc..","Hate speech would be to offend the race, family, religion, and the way the person lives, be it man, woman or other classes: gays, lesbians, etc.","Hate speech would be to offend the race, family, religion, and the way the person lives, be it man, woman or other classes: gays, lesbians, etc."
R_3NHQcvTe5W7u7AW,bra,"Deixar que qualquer pessoa defina o que é discurso de odio, possibilita esta pessoa definir o que pode ou nao ser dito. Possibilita a sensura.  Tudo pode ser co siderado discurso de odio, nada pode ser considerado discurso de odio. A realidade nao se importa com nossos sentimentos .","Let anyone define what is hate speech, it enables this person to define what can or can not be said.Enables sensura.Everything can be covered by hate speech, nothing can be considered hate speech.Reality does not care about our feelings.","Let anyone define what is hate speech, it enables this person to define what can or can not be said.Enables sensura.Everything can be covered by hate speech, nothing can be considered hate speech.Reality does not care about our feelings."
R_PU6fIQ2yinbegi5,bra,"Frases que são ofensivas não aos sentimentos ou às opiniões, mas às ""características"" intrínsecas de uma pessoa.","Phrases that are offensive not to feelings or opinions, but to the intrinsic ""characteristics"" of a person.","Phrases that are offensive not to feelings or opinions, but to the intrinsic ""characteristics"" of a person."
R_27CokAxXGckmzDW,bra,"Discurso degradando um grupo social, o qual, se não forem tomadas as corretas medidas, pode vir a ser um pesadelo na vida desses grupos de minorias.","Speech degrading a social group, which, if the correct measures are not taken, may become a nightmare in the lives of these minority groups.","Speech degrading a social group, which, if the correct measures are not taken, may become a nightmare in the lives of these minority groups."
