ResponseId,country,hate_definition,hate_definition_cleaned
R_3wRo4h9EUq2C9vH,usa,"When someone is very entitled attacks another person with insults and threatens them just to believe in a certain way. 
The only exemptions is if it’s either educational porpoise and/or a history/current group that is a toxic group like the KKK and hitler",When someone is very entitled attacks another person with insults and threatens them just to believe in a certain way.  The only exemptions is if it’s either educational porpoise and/or a history/current group that is a toxic group like the KKK and hitler
R_3EyxTR1uwtISd5n,usa,Hate speech is an absurd concept used by the state to make “victims” feel better when “verbal abusers” are brought to task for saying something stupid and irresponsible.,Hate speech is an absurd concept used by the state to make “victims” feel better when “verbal abusers” are brought to task for saying something stupid and irresponsible.
R_bvjzAZbRa2z02iJ,usa,"People have a right to their own opinions and feelings about any subject, these rights should not be infringed","People have a right to their own opinions and feelings about any subject, these rights should not be infringed"
R_3qe8lCXdEDZGWDc,usa,"I think of hate speech as being something that actually causes or threatens to cause harm to a racial group, gender, religion etc.  Saying someone should be shot is hate speech because it encourages violence.  But giving an unpopular opinion such as saying who you think should or should not be allowed to marry is just an opinion.  I may strongly disagree with it, but they’re still entitled to their opinion.  It’s not my place to censor it.  If it bothers me enough, I can block them.","I think of hate speech as being something that actually causes or threatens to cause harm to a racial group, gender, religion etc.  Saying someone should be shot is hate speech because it encourages violence.  But giving an unpopular opinion such as saying who you think should or should not be allowed to marry is just an opinion.  I may strongly disagree with it, but they’re still entitled to their opinion.  It’s not my place to censor it.  If it bothers me enough, I can block them."
R_2qdCbjvIaU7E5oj,usa,"Speech that directly encourages violence against another. If it promotes or encourages a deliberate pattern of harassment or attempts to enlist others to acts of violence, unethical, or immoral behavior.","Speech that directly encourages violence against another. If it promotes or encourages a deliberate pattern of harassment or attempts to enlist others to acts of violence, unethical, or immoral behavior."
R_vpllHzKkGEJ1pwl,usa,"Threatening someone, usage of demeaning and defamatory language, posting pictures of hate group signs symbols, etc, cyber harassment cyber stalking cyber bullying etc.","Threatening someone, usage of demeaning and defamatory language, posting pictures of hate group signs symbols, etc, cyber harassment cyber stalking cyber bullying etc."
R_3PHxNQmFONMSBcR,usa,"Speech that calls to hurt anyone, cause violence, riots, or civil unrest, innsurrection ect. These activities are already illegal. Speech that is racist, homophobic, ect. should be allowed on social media. It should have an explicit content warning covering it. I think sunlight is the best disinfectant of bad ideas. I want to know who is making these comments, so i can engage with them and help rehabilitate them. If i cant hrlp change their mind then i simply hVr the option to block that person.","Speech that calls to hurt anyone, cause violence, riots, or civil unrest, innsurrection ect. These activities are already illegal. Speech that is racist, homophobic, ect. should be allowed on social media. It should have an explicit content warning covering it. I think sunlight is the best disinfectant of bad ideas. I want to know who is making these comments, so i can engage with them and help rehabilitate them. If i cant hrlp change their mind then i simply hVr the option to block that person."
R_0HthGaW8lXG8Xyp,usa,"Hate Speech is direct attack on a persons race, religion, occupation, etc.  attacking the individual verbally, Claiming that the person is ignorant, or wicked.","Hate Speech is direct attack on a persons race, religion, occupation, etc.  attacking the individual verbally, Claiming that the person is ignorant, or wicked."
R_sb3AplRcUFX0rTP,usa,"Calling for the death, jailing, impoverishment, or social explosion of a group of people, or of an individual because of their membership in a particular group.","Calling for the death, jailing, impoverishment, or social explosion of a group of people, or of an individual because of their membership in a particular group."
R_WigyRbOS3J3WjYJ,usa,Expressing hate towards others for their intrinsic characteristics or their religious or political views,Expressing hate towards others for their intrinsic characteristics or their religious or political views
R_uslGC0rIs2rdyF3,usa,"Hate speech is someone who has hate in their heart and expresses their hate toward the people they hate. Allowing them to openly share their disgusting opinions, shines a light on who they really are, exposes it to the world.","Hate speech is someone who has hate in their heart and expresses their hate toward the people they hate. Allowing them to openly share their disgusting opinions, shines a light on who they really are, exposes it to the world."
R_21tXraYQAssHMNW,usa,"Hate speech is defaming a religion not yours, people who don't look like you, or people who live a different lifestyle than you. Added to that are threats related to the above categories.","Hate speech is defaming a religion not yours, people who don't look like you, or people who live a different lifestyle than you. Added to that are threats related to the above categories."
R_1msFFyXCvwW9A4Q,usa,Hate speech is speech that encourages in any way or incites in any way actions that may cause personal physical or mental harm to another any speech that incites,Hate speech is speech that encourages in any way or incites in any way actions that may cause personal physical or mental harm to another any speech that incites
R_3rS1XnYzTfV2S13,usa,"Speech that calls for violence against a group of people for things like race, gender, sexual orientation, religion,  nationality, etc.","Speech that calls for violence against a group of people for things like race, gender, sexual orientation, religion,  nationality, etc."
R_2TKMCFsUlQUww2o,usa,"Hate Speech focuses on a particular minority or protected class. When I say people should not be banned...I mean permanently. You didn't specify if ""banning"" someone was a temporary thing or permeant. I think if you directly threaten someone, like ""You need to be killed"", that is a threat. ""All blacks should die"" is hate speech. ""All Republicans should die"" is not because Republicans (or any political Party) is not a protected class. Saying ""I am gonna kill all Republicans"" is a threat. Threat should not be allowed, but saying ""I think all liberals need to die"" is neither hate speech or a threat. They did not say they wanted to kill them and political parties are NOT protected classes.  Making fun of someone's beliefs or political opinions is NOT hate speech, it's not nice, but my God have you been on our highways lately? Courtesy is lacking and trying to protect someone from someone else just being an asshole is NOT doing them any favors. The idea that ""words are violence"" creates a weak mindset of people who cannot take criticism and demand to be pampered and praised and are ill prepared for real life. Why do you think our kids are so damn neurotic? Why are so many on anxiety meds as young adults? Because they are trained to be weak from the get go.","Hate Speech focuses on a particular minority or protected class. When I say people should not be banned...I mean permanently. You didn't specify if ""banning"" someone was a temporary thing or permeant. I think if you directly threaten someone, like ""You need to be killed"", that is a threat. ""All blacks should die"" is hate speech. ""All Republicans should die"" is not because Republicans (or any political Party) is not a protected class. Saying ""I am gonna kill all Republicans"" is a threat. Threat should not be allowed, but saying ""I think all liberals need to die"" is neither hate speech or a threat. They did not say they wanted to kill them and political parties are NOT protected classes.  Making fun of someone's beliefs or political opinions is NOT hate speech, it's not nice, but my God have you been on our highways lately? Courtesy is lacking and trying to protect someone from someone else just being an asshole is NOT doing them any favors. The idea that ""words are violence"" creates a weak mindset of people who cannot take criticism and demand to be pampered and praised and are ill prepared for real life. Why do you think our kids are so damn neurotic? Why are so many on anxiety meds as young adults? Because they are trained to be weak from the get go."
R_1P1UXTCJFFNTziK,usa,"Threatening of physical harm, if you feel threatened and anticipate physical harm that is hate . Speech is not physically threatening and needs to be ignored.","Threatening of physical harm, if you feel threatened and anticipate physical harm that is hate . Speech is not physically threatening and needs to be ignored."
R_3hxujBj7DHguYaB,usa,"Legally. Its not a thing.   Offensive speech though.   Meaning to degrade,  insult,  harass,  and plain mean.","Legally. Its not a thing.   Offensive speech though.   Meaning to degrade,  insult,  harass,  and plain mean."
R_2WNiFeLzKFl9GMk,usa,"Hate speech would be directly directed toward another user as a reply (or post) to that user or specifically mention that user by name-and would include actual verifiable physical threats toward the person due to a belief, creed, national origin or physical characteristic- not just a passing comment","Hate speech would be directly directed toward another user as a reply (or post) to that user or specifically mention that user by name-and would include actual verifiable physical threats toward the person due to a belief, creed, national origin or physical characteristic- not just a passing comment"
R_bd86gXFpKY5LoUV,usa,"Physical threats, clear racism, blatant sexual names, and religious or non-religious threats. 
For instance, “If you don’t follow Allah/God/Jesus, you will go to hell.” Is NOT hate speech.
But, “I wish Allah/God/Jesus would strike you down now.” IS hate speech.

Clear parody/sarcasm/humor, even if offensive, should be protected. Like “I could tell you, but then I’d have to shoot you” is clearly kidding. 

Links to peer reviewed scientific studies should be allowed.","Physical threats, clear racism, blatant sexual names, and religious or non-religious threats.  For instance, “If you don’t follow Allah/God/Jesus, you will go to hell.” Is NOT hate speech. But, “I wish Allah/God/Jesus would strike you down now.” IS hate speech.  Clear parody/sarcasm/humor, even if offensive, should be protected. Like “I could tell you, but then I’d have to shoot you” is clearly kidding.   Links to peer reviewed scientific studies should be allowed."
R_3OlkhuPVMfED506,usa,"Clear racist, homophobic, or other content targeted at a group or individual. i.e. slurs or inflammatory content that, beyond disagreeing with or expressing dislike for a group, expresses that that group should not be allowed in public. Threats of violence. Denial of the holocaust or other established facts.","Clear racist, homophobic, or other content targeted at a group or individual. i.e. slurs or inflammatory content that, beyond disagreeing with or expressing dislike for a group, expresses that that group should not be allowed in public. Threats of violence. Denial of the holocaust or other established facts."
R_2QL29pANdl07cLc,usa,Specifically stating something factual about a person or group that they would take offense to or calling for actual violence. Example: We should draw and quarter itialians so we don't have to look at their large noses.,Specifically stating something factual about a person or group that they would take offense to or calling for actual violence. Example: We should draw and quarter itialians so we don't have to look at their large noses.
R_zUB0hh5CvwukbKN,usa,"Hate speech is any type of speech that threatens, belittled, or uses words known to evoke fear in any specific group of people.","Hate speech is any type of speech that threatens, belittled, or uses words known to evoke fear in any specific group of people."
R_OfFxaY6GJCXgSsN,usa,"No speech, regardless of how it should be perceived, should be banned. The natural or God-given right to speak freely must be preserved, and not violated by any mundane entity.","No speech, regardless of how it should be perceived, should be banned. The natural or God-given right to speak freely must be preserved, and not violated by any mundane entity."
R_8iR6cZSHU6WcQjn,usa,"Hate speech is a concept made up by activists to curtail opposing viewpoints. Sure there are troglodytes out there that say stupid things but why should I care what a troglodyte thinks? Elevating Insults to ""hate speech"" is in my opinion an overreaction, insults reflect more on the person hurling them than the target. When I was a kid we used to say ""sticks and stones may break my bones but words can never hurt me"" - I realize in some situations, such as a child growing up in a pervasive negative environment - words can be harmful. But when we give one group power and let them silence opposing viewpoints we have become a police state. Socrates, Helmuth Hubener, Jesus Christ - all were executed for their speech.","Hate speech is a concept made up by activists to curtail opposing viewpoints. Sure there are troglodytes out there that say stupid things but why should I care what a troglodyte thinks? Elevating Insults to ""hate speech"" is in my opinion an overreaction, insults reflect more on the person hurling them than the target. When I was a kid we used to say ""sticks and stones may break my bones but words can never hurt me"" - I realize in some situations, such as a child growing up in a pervasive negative environment - words can be harmful. But when we give one group power and let them silence opposing viewpoints we have become a police state. Socrates, Helmuth Hubener, Jesus Christ - all were executed for their speech."
R_40esw3n3O4D9jr3,usa,"Derogatory speech that singles out one specific demographic (race, religion, political affiliation, gender, sexual preference, gender identification) and demeans them without any facts to back up their ideology.  ANY speech that threatens the lives and well being of said demographic.","Derogatory speech that singles out one specific demographic (race, religion, political affiliation, gender, sexual preference, gender identification) and demeans them without any facts to back up their ideology.  ANY speech that threatens the lives and well being of said demographic."
R_qCTD41Ha2Z0eRtT,usa,"An original post stating that any person or group of people should die, or call for violence against them.","An original post stating that any person or group of people should die, or call for violence against them."
R_3PcnvmfQPFJh6Z2,usa,"Hate speech is a targeted personal attack meant to intimidate a person or group. In the most extreme, hate speech is used to inspire violence against a person or group. Violence against Jews and LGBTQ folks has risen in the last few years due, in large part, to rhetoric being spread on social media.","Hate speech is a targeted personal attack meant to intimidate a person or group. In the most extreme, hate speech is used to inspire violence against a person or group. Violence against Jews and LGBTQ folks has risen in the last few years due, in large part, to rhetoric being spread on social media."
R_3nl8APR2r0INuO2,usa,"Denigration of a protected minority class in a way that does it could realistically cause actual harm.
Example: hate speech is saying ""everyone who is (insert protected class) are criminals and should be locked up or deported""
Not hate speech: ""why are people from (insert protected class) so loud?""","Denigration of a protected minority class in a way that does it could realistically cause actual harm. Example: hate speech is saying ""everyone who is (insert protected class) are criminals and should be locked up or deported"" Not hate speech: ""why are people from (insert protected class) so loud?"""
R_1jBN3u8APliAEZ8,usa,"Hate speech as your silly site is trying to push, is purely subjective and has no actual basis in the world. Hate speech isn’t real, it’s just speech. If you don’t like it, don’t listen to it.","Hate speech as your silly site is trying to push, is purely subjective and has no actual basis in the world. Hate speech isn’t real, it’s just speech. If you don’t like it, don’t listen to it."
R_2dmSNuv97L8wby8,usa,I personally define hate speech as any derogatory statements made toward entire groups of people used to justify violence or ostrification of said group.,I personally define hate speech as any derogatory statements made toward entire groups of people used to justify violence or ostrification of said group.
R_31nqigVWAK9A5Sl,usa,"hate speech is anything that targets a specific group of people, wishes harm on anyone, threatens someone, or written attacks on an induvial or group.","hate speech is anything that targets a specific group of people, wishes harm on anyone, threatens someone, or written attacks on an induvial or group."
R_86rpjY5F3JMFm7v,usa,"Hate speech is rare.  When it exists, it is directed specifically against a person or group on the basis of their group affiliations.  

None of the stupid examples in this survey constitute hate speech in any way.  This kind of survey was composed by idiots who think opinions can be hateful.","Hate speech is rare.  When it exists, it is directed specifically against a person or group on the basis of their group affiliations.    None of the stupid examples in this survey constitute hate speech in any way.  This kind of survey was composed by idiots who think opinions can be hateful."
R_3r085mcmrBcfVIm,usa,"Demonizing, attacking anyone with different opinions as being ""un-religious""  or un-patriotic, or as inherently evil and dangerous","Demonizing, attacking anyone with different opinions as being ""un-religious""  or un-patriotic, or as inherently evil and dangerous"
R_2e8C4SPjnWG6fWs,usa,Statements that either allude to or directly threaten physical violence to an individual or group of people.,Statements that either allude to or directly threaten physical violence to an individual or group of people.
R_28U8t0C0WEblCTR,usa,There is no such thing as hate speech.  Hate speech is a term made up by people who want to censor and silence others.,There is no such thing as hate speech.  Hate speech is a term made up by people who want to censor and silence others.
R_3KNN4Kbij4ZcfRe,usa,"Statements that wish genuine harm on another person, or statements that vilify a group of people based on skin color, gender, sexuality, etc.
I am a firm believer in the intolerance paradox, and feel that hate speech is acceptable to use against hate speech, as long as it is only based on their intolerance and no other factors.","Statements that wish genuine harm on another person, or statements that vilify a group of people based on skin color, gender, sexuality, etc. I am a firm believer in the intolerance paradox, and feel that hate speech is acceptable to use against hate speech, as long as it is only based on their intolerance and no other factors."
R_1k1yrnqdOS1xsVF,usa,Any form of demeaning or putting down of a person.. Another words trump was  all about hate speech...,Any form of demeaning or putting down of a person.. Another words trump was  all about hate speech...
R_3JK1kDmam331PhG,usa,"Hate speech does not exist. Things we say may be offensive, but it is our own responsibility to moderate how we interpret, understand, react, and deal with something that someone else is trying to communicate.","Hate speech does not exist. Things we say may be offensive, but it is our own responsibility to moderate how we interpret, understand, react, and deal with something that someone else is trying to communicate."
R_3s7AyTzCM8XiYuh,ger,"Jede Rede, die andere Menschen bedroht und zur Gewalt  aufruft oder Gewalttaten verharmlost","Jede Rede, die andere Menschen bedroht und zur Gewalt  aufruft oder Gewalttaten verharmlost"
R_2pXEZdYRAofdAGg,ger,"Eine nicht-argumentative Form der Kommunikation, die Vernichtungswillen impliziert.","Eine nicht-argumentative Form der Kommunikation, die Vernichtungswillen impliziert."
R_tEevCBzbyw2VsYN,ger,Wollt ihr den totalen Krieg?,Wollt ihr den totalen Krieg?
R_3MDLSjwyjJFtkv0,ger,aufputschende abwertende Rede,aufputschende abwertende Rede
R_55Z9JO0lCfXtoC5,ger,Ohio v Brandenburg,Ohio v Brandenburg
R_e36PQwGBC3DnnAl,ger,Offensive Diffamierung und / oder Aufruf zu Gewalt,Offensive Diffamierung und / oder Aufruf zu Gewalt
R_1CI9EUV19AksLDQ,ger,"Wenn jemand z.B. als ""Nigger"", ""Judenschwein"" oder als ""schwule Sau"" bezeichnet wird.","Wenn jemand z.B. als ""Nigger"", ""Judenschwein"" oder als ""schwule Sau"" bezeichnet wird."
R_3har8spyq8L7mN3,ger,Wo Menschen dazu aufgefordert werden anderen Menschen etwas anzutun.,Wo Menschen dazu aufgefordert werden anderen Menschen etwas anzutun.
R_5sVvXQXmisZ3aQ9,ger,Alles was gegen das AGG verstößt. Drohungen. Menschen die mit Lügen gegen andere aufhetzen.,Alles was gegen das AGG verstößt. Drohungen. Menschen die mit Lügen gegen andere aufhetzen.
R_1LnGcRIUPmmehl2,ger,unsere Politiker machen das sehr  gut sie versprühen den Hass auf Deutschland sehr gut.,unsere Politiker machen das sehr  gut sie versprühen den Hass auf Deutschland sehr gut.
R_Rb1BrGBX726yUlX,ger,"Alles was dazu aufruft, anderen Menschen Schaden / Gewalt zukommen zu lassen","Alles was dazu aufruft, anderen Menschen Schaden / Gewalt zukommen zu lassen"
R_31SL8bqUQC9uipe,ger,"Hassrede ist ein persönlicher Angriff oder Bedrohungen, nicht Sarkasmus oder Satire","Hassrede ist ein persönlicher Angriff oder Bedrohungen, nicht Sarkasmus oder Satire"
R_3RyJabOCBs7D4pG,ger,Hassrede gibt es nicht. Entweder eine Äußerung ist strafbar oder sie ist es nicht.,Hassrede gibt es nicht. Entweder eine Äußerung ist strafbar oder sie ist es nicht.
R_Ptwuxz3jajplIhH,ger,Jemand wird mit Gewalt bedroht oder aggressiv ausgeschlossen oder diffamiert,Jemand wird mit Gewalt bedroht oder aggressiv ausgeschlossen oder diffamiert
R_d45qWZTqNfhQkql,ger,der Versuch Menschen zu schaden,der Versuch Menschen zu schaden
R_vPpuMT3aHglXjsR,ger,Wenn explizit gegen Minderheiten gehetzt wird.,Wenn explizit gegen Minderheiten gehetzt wird.
R_TtLbKjRtmReBSzn,ger,Keine Ahnung,Keine Ahnung
R_2scCmF13fZGsmhb,ger,"Hassrede ist, wenn man mit Straftaten bedroht wird.","Hassrede ist, wenn man mit Straftaten bedroht wird."
R_3F5relNNDJmxX2W,ger,"Hetze gegen Randgruppen und Minderheiten, Aufruf zu Gewalttaten und aktive Ausgrenzung","Hetze gegen Randgruppen und Minderheiten, Aufruf zu Gewalttaten und aktive Ausgrenzung"
R_3sjJWNjN53tAWDZ,ger,"Persönliche Angiffe ,wie ""du dumme Fo..."" ""Sie blödes A.. loch""  oder ähnliches !","Persönliche Angiffe ,wie ""du dumme Fo..."" ""Sie blödes A.. loch""  oder ähnliches !"
R_2zu10fDlX88Yp28,ger,"Direkte, offene Beleidigungen, Androhung, Aufruf oder Anstiftung zu Gewalt jeglicher Art.","Direkte, offene Beleidigungen, Androhung, Aufruf oder Anstiftung zu Gewalt jeglicher Art."
R_3kbq2YE0FA1HiyX,ger,Garnicht... Das muss man aushalten können,Garnicht... Das muss man aushalten können
R_2wot87ZHBTr54Bf,ger,"Wenn Menschen ihrer Religion ,politischen Meinung und Herkunft persönlich beschimpf werden","Wenn Menschen ihrer Religion ,politischen Meinung und Herkunft persönlich beschimpf werden"
R_1l48UUAsVNSjmAy,ger,"Persönlich beleidigend, Bedrohung","Persönlich beleidigend, Bedrohung"
R_Z48YuTRDYDwl1ex,ger,"Äußerungen, die Hass auf andere Menschen ausdrücken bzw. zum Hass gegen andere Menschen aufrufen.","Äußerungen, die Hass auf andere Menschen ausdrücken bzw. zum Hass gegen andere Menschen aufrufen."
R_2rSnSRotEvxnnpI,ger,"Bedrohung der körperlichen Unversehrtheit, Angriffe auf die Person, wie Dummheit","Bedrohung der körperlichen Unversehrtheit, Angriffe auf die Person, wie Dummheit"
R_10AGT9dNSNm2aWu,ger,Aufruf zu Gewalt gegen Personen oder Gruppen.,Aufruf zu Gewalt gegen Personen oder Gruppen.
R_28THh0BoTSU8SXU,ger,Übelste Beschimpfungen und Diffamierungen die absolut unter der Gürtellinie sind,Übelste Beschimpfungen und Diffamierungen die absolut unter der Gürtellinie sind
R_26bBnEyOiokKNml,ger,"Persönliche Bedrohung, konkrete Aufforderung zu Gewalt oder rechtswidrigem Handeln","Persönliche Bedrohung, konkrete Aufforderung zu Gewalt oder rechtswidrigem Handeln"
R_domBZkUS8uZ0Uzn,ger,Hassrede gibt es für mich nur in extremsten Fällen. Beispielsweise der IS oder KKK,Hassrede gibt es für mich nur in extremsten Fällen. Beispielsweise der IS oder KKK
R_1IcGWSVjd822nd6,ger,Weiß ich nicht,Weiß ich nicht
R_3G9epC36NqdP3YN,ger,Strafrechtlich relevantes Verhalten/diskriminierendes Verhalten iS AGG,Strafrechtlich relevantes Verhalten/diskriminierendes Verhalten iS AGG
R_ABQoTldk6MUgPdf,ger,"persönliche Beleidigungen, Mobbing und Aufruf dazu Blockwartmentalität und Denunzition","persönliche Beleidigungen, Mobbing und Aufruf dazu Blockwartmentalität und Denunzition"
R_2fj6OJ9yX8BPhSl,ger,Statements due klar zu Gewalttaten aufrufen.,Statements due klar zu Gewalttaten aufrufen.
R_1ISGuXEBu0u9juI,ger,Wenn ein Mensch persönlich angegriffen wird. Nicht seine Meinung/ Einstellung.,Wenn ein Mensch persönlich angegriffen wird. Nicht seine Meinung/ Einstellung.
R_29cAUCbU353VxsS,ger,Beleidigungen sämtlicher Art,Beleidigungen sämtlicher Art
R_1FrEsRv37v0m4jQ,ger,Rede die andere entmenscht und aufgrund eines Merkmals diskrimiert und abwertet,Rede die andere entmenscht und aufgrund eines Merkmals diskrimiert und abwertet
R_2EzOG1WaK3Vsqs2,ger,Hass mit dem Ziel der Herabsetzung und Verunglimpfung bestimmter Personen oder Personengruppen,Hass mit dem Ziel der Herabsetzung und Verunglimpfung bestimmter Personen oder Personengruppen
R_1eJFTTxJ2aZaMhG,ger,Morddrohungen,Morddrohungen
R_2zx1Mt5abBkqRVy,ger,Wenn man persönlich angefeindet und bedroht wird.,Wenn man persönlich angefeindet und bedroht wird.
R_3qKFtGl9ZncbQpl,ger,"Androhung von Gewalt, persönliche Beleidigung","Androhung von Gewalt, persönliche Beleidigung"
R_1ialhtuAJBsbVfW,ger,Ich finde den Ausdruck infantil.,Ich finde den Ausdruck infantil.
R_3nkZNFKZAiQcvfT,ger,Hassreden sind ein Aufruf oder Aufforderung anderen Menschen Leid zu zufügen.,Hassreden sind ein Aufruf oder Aufforderung anderen Menschen Leid zu zufügen.
R_pMA9bCaDixG4qQx,ger,"Unterschiedlich,  je nach Kontext...","Unterschiedlich,  je nach Kontext..."
R_3oEHJEwb7kZTzWC,ger,Morddrohungen und Mordaufrufe.,Morddrohungen und Mordaufrufe.
R_2Pu0T9owNZEJGos,ger,Beleidigend Angriffe und Drohungen gegen Menschen oder Gruppen,Beleidigend Angriffe und Drohungen gegen Menschen oder Gruppen
R_3G9uvZt9CfSqDoI,ger,"eine (An-)Rede, die meine persönlichen Gefühle verletzt oder mich bereits verbal in Furcht versetzt","eine (An-)Rede, die meine persönlichen Gefühle verletzt oder mich bereits verbal in Furcht versetzt"
R_z2v9YQhDhUAb0sh,ger,"""Hassrede"" ist ein unglücklich übersetzter Anglizismus und bedeutet im Hass auf etwas zu sprechen.","""Hassrede"" ist ein unglücklich übersetzter Anglizismus und bedeutet im Hass auf etwas zu sprechen."
R_1Ca8pIopfvw1WXW,ger,"Wenn man herauslesen kann, dass eine bestimmte PersonenGRUPPE diffamiert wird.","Wenn man herauslesen kann, dass eine bestimmte PersonenGRUPPE diffamiert wird."
R_NUUibOiKV6gxlYJ,ger,"Es gibt keine Hassreden, nur Meinungen","Es gibt keine Hassreden, nur Meinungen"
R_1qUuz36ESZfaFiT,ger,"Das ist unklar. Beleidigungen, die Richtung Bedrohung gehen.","Das ist unklar. Beleidigungen, die Richtung Bedrohung gehen."
R_3HAev9MhhYd9Z04,ger,Ein perfides Konstrukt was dazu dienen soll unliebsame Meinungen zu unterdrücken.,Ein perfides Konstrukt was dazu dienen soll unliebsame Meinungen zu unterdrücken.
R_2qBQpzTO8EGA0id,ger,Polemik,Polemik
R_2EtWQmZsWJuEKVo,ger,Persönliche Beleidigung von Individuen.,Persönliche Beleidigung von Individuen.
R_3MS6HvvbDrYpbpp,ger,"Haßrede ist ein Kunstbegriff, der mit freier Meinungsäußerung nichts zu tun hat.","Haßrede ist ein Kunstbegriff, der mit freier Meinungsäußerung nichts zu tun hat."
R_10YFRNDxfN6Z5bD,ger,Wenn jemand wirklich massiv beleidigt wird und wenn zu Gewalt gegen Personen aufgerufen wird.,Wenn jemand wirklich massiv beleidigt wird und wenn zu Gewalt gegen Personen aufgerufen wird.
R_37pHizF7otvIECZ,ger,"Direkter Aufruf zur Gewalt gegen eine bestimmte Person, oder Gruppen.","Direkter Aufruf zur Gewalt gegen eine bestimmte Person, oder Gruppen."
R_2fqCI5WuVz7DX3z,ger,"Beleidigungen, Volksverhetzung, Verbreitung von Lügen","Beleidigungen, Volksverhetzung, Verbreitung von Lügen"
R_3oMxmlMWuyZ7t9J,ger,Gibt es nicht!,Gibt es nicht!
R_3JlKlg9fP7UxKdy,ger,"Äußerungen, die darauf hindeuten, dass man ein Individuum oder eine Gruppe von Personen hasst","Äußerungen, die darauf hindeuten, dass man ein Individuum oder eine Gruppe von Personen hasst"
R_T6N53ppT5rOzuUh,ger,"Hassrede wertet ab und entwürdigt den*die Adressat*in, beleidigt und bedroht.","Hassrede wertet ab und entwürdigt den*die Adressat*in, beleidigt und bedroht."
R_2ARuY4CKBcMldiE,ger,Äußerung von Hass gegen Personen oder Gruppen.,Äußerung von Hass gegen Personen oder Gruppen.
R_6sOp3aRKwQLPPk5,ger,"negative Äußerungen, die andere zu Gewalttaten aufstacheln.","negative Äußerungen, die andere zu Gewalttaten aufstacheln."
R_DtWINX4rdbCi50Z,ger,Jemand die Existenzberechtigung zu verwehren.,Jemand die Existenzberechtigung zu verwehren.
R_2xzTGPKZToMzeQa,ger,"bewusste Infragestellung der Menschenwürde, Aufstachelung zu Gewalt","bewusste Infragestellung der Menschenwürde, Aufstachelung zu Gewalt"
R_2scJZ90mSoREU09,ger,"Mehrfaches drohen,absprechen der Grundrechte","Mehrfaches drohen,absprechen der Grundrechte"
R_3fHTS4EaQuPIW4T,ger,Hassrede ist jemandem mit Worten Schaden zuzufügen oder snzudrohen.,Hassrede ist jemandem mit Worten Schaden zuzufügen oder snzudrohen.
R_3jYHyHm6ucw34Hn,ger,"Hassreden ist, wenn mir jemand droht mich zu ermorden","Hassreden ist, wenn mir jemand droht mich zu ermorden"
R_3qVU0d6CiqhJBYD,ger,Besonders bösartig mit den deutlichen Ziel zu verletzen,Besonders bösartig mit den deutlichen Ziel zu verletzen
R_2QszdPqrVA6h6Ed,ger,Persönlich den Tot wünschen,Persönlich den Tot wünschen
R_RgIlxi4bEBzjJXb,ger,"Wenn wirklich irrationaler Hass dahinter zu spüren ist - Beispiel ""Tod den Homos""","Wenn wirklich irrationaler Hass dahinter zu spüren ist - Beispiel ""Tod den Homos"""
R_3fYQ43MP9G77cgB,ger,Persönlich beleidigende oder Gewalttätige Inhalte,Persönlich beleidigende oder Gewalttätige Inhalte
R_segzELb2G80t7wd,ger,Negativstemotional und nicht faktenbasiert mit ausgeprägt destruktiver Intention.,Negativstemotional und nicht faktenbasiert mit ausgeprägt destruktiver Intention.
R_2YDnnsnOQl175Dz,ger,Wenn die Person persönlich angegriffen wird bedroht und verunglimpft wird,Wenn die Person persönlich angegriffen wird bedroht und verunglimpft wird
R_RE59LIkNr2phFMR,ger,"Äußerungen, die zur Gewalt gegen Andere aufrufen.","Äußerungen, die zur Gewalt gegen Andere aufrufen."
R_290LEBrLGLiZW9R,ger,"bösartig, verleumderisch, beleidigend","bösartig, verleumderisch, beleidigend"
R_2tDwyQoChIb4IIE,ger,Nicht existent.,Nicht existent.
R_27wmDvObjQeOmgJ,ger,"Aufruf zum Antisemitismus, Aufrufe zur politisch 
oder  religiös motivierten Gewalt","Aufruf zum Antisemitismus, Aufrufe zur politisch  oder  religiös motivierten Gewalt"
R_2s5Wm9sCGaW9Y8a,ger,"Dämlicher Begriff, zu dem ich noch nie eine Definition gesehen habe.","Dämlicher Begriff, zu dem ich noch nie eine Definition gesehen habe."
R_3OcRazEfXKvnxQO,ger,"Menschenverachtend 
Herabwürdigend 
Beleidigend 
Bedrohend
Schrille Totalität",Menschenverachtend  Herabwürdigend  Beleidigend  Bedrohend Schrille Totalität
R_3qyg1hBjj9AJQyv,ger,Bestimmten Menschen oder Gruppen Böses wünschen oder zu Gewalt gegen sie aufrufen.,Bestimmten Menschen oder Gruppen Böses wünschen oder zu Gewalt gegen sie aufrufen.
R_9FZMUQqMo56hEnn,ger,Hassrede ist nur subjektiv.  Im Grunde gibt es sie nicht,Hassrede ist nur subjektiv.  Im Grunde gibt es sie nicht
R_2ru6Phq21dAOhTQ,ger,"Fragt 20 Leute und ihr habt 20 verschiedene Definitionen - irrelevant!
Hassrede ist Menschenrecht!",Fragt 20 Leute und ihr habt 20 verschiedene Definitionen - irrelevant! Hassrede ist Menschenrecht!
