Input.ResponseId,country,hate_definition_cleaned,hate_definition
R_1pVVUa2r6ZArOFB,pol,Popieluszko Huj,popieluszko huj
R_2P09vl7om5sbEvI,pol,such a speech in which you hate yourself,taka mowa w której się nienawidzi
R_1BVpU4FSONhwW30,pol,A statement that shows the signs of contempt or hatred towards the group/individual,Wypowiedź która wykazuje znaki pogardy bądź nienawiści wobec grupy/jednostki
R_3sgC5DCE5rc5eBl,pol,"Hate speech are any offensive words, threats or mocking.","Mowa nienawiści to jakiekolwiek słowa obraźliwe, groźby lub wyszydzanie."
R_yDB1stW2ZmNv3k5,pol,"Unjustified hostility/disgust/hatred for a given group as a whole, expressed in words","Nieuzasadniona wrogość/obrzydzenie/nienawiść do danej grupy jako całości, wyrażana słowami"
R_pubvTf5mbAXUubL,pol,Persuading and convincing in strength to your opinion in an aggressive way,Namawianie i przekonywanie na sile do swojej opinii w agresywny sposób
R_2yfp5fDZBC1kwOv,pol,The invention of people who cannot cope with criticism,Wymysł ludzi którzy nie umieją radzic sobie z krytyką
R_XwgylvrrWevsdNv,pol,"Discrimination, threats","Dyskryminacja, zagrożenia"
R_2eORKvqNb0pCRUv,pol,Polish extermination camps,Polskie obozy zagłady
R_22LmoM3t540awFv,pol,idk,idk
R_24tIsso5ZAYSwzP,pol,Does not exist,Nie istnieje
R_1PdBBrcQ88dIWvf,pol,The offensive determination of someone because of some of his often impossible feature.,Obraźliwe określanie kogoś ze względu na jakąś jego często niemożliwą do zmiany cechę.
R_10wtrO1nlZOjvlD,pol,Calling to violence literally (this is not a joke or hyperbola),Nawoływanie do przemocy w sposób dosłowny (nie jest to żart ani hiperbola)
R_27PBXXwrY9LY8LV,pol,"A new -wing leftist element, which aims to criminalize statements and punishment for words.","Element lewackiej nowomowy, którego celem jest kryminalizacja wypowiedzi i karanie za słowa."
R_1jjO3V3NhR4B6xU,pol,There is nothing like that.This invent those who offend everything.,nie ma czegos takiego. to wymysl tych ktorych wszystko obraza.
R_27xwW8dz0EYxELu,pol,Insulting and criticizing a person with different views,Obrażanie i krytykowanie osoby o innych poglądach
R_b9GzJtN53sh0wSt,pol,"Calling to violence, social exclusion or dehumanization of people or groups.","Nawoływanie do przemocy, wykluczenia społecznego lub dehumanizacja osób lub grup."
R_242cToQ5S28391B,pol,Statements that promote or call for discrimination against a specific group of people,Stwierdzenia które promują albo nawołują do dyskryminacji konkretnej grupy ludzi
R_3F53864nrvCeDIv,pol,"The offensive, often vulgar content, not allowing alternative solutions.","Obraźliwa, często wulgarna treść, nie dopuszczającą alternatywnych rozwiązań."
R_2uPuS0ShcqSCdqX,pol,Not ironic persuasion of people to commit acts of aggression towards specific people or groups of people,Nie ironiczne namawianie ludzi do popełniania aktów agresji wobec konkretnych ludzi czy grup ludzi
R_27vZo2S5zZPOWN8,pol,"Calling to/wish of death, persecution, attacks towards man","Nawoływanie do/życzenie śmierci, prześladowań, ataków w stronę człowieka"
R_2q3QzrBNBaCnax2,pol,Speech calling to ignore the other party and stigmatizing them as worse or threatening them.,Mowa nawołująca do ignorowania drugiej strony oraz piętnująca ich jako gorszych lub grożenie im.
R_29anzDMeukm2fai,pol,Calling to actively hurt a given group,Nawoływanie do aktywnego krzywdzenia danej grupy
R_21Bv5TRBFTax64Y,pol,"Insults, invectives, urging to violence","Obelgi, inwektywy, namawianie do przemocy"
R_3kyKF2kmKXz1cyR,pol,Calling for direct harm to a person/group of people for some reason.,"Nawoływanie do wyrządzenia bezpośredniej krzywdy danej osobie/grupie ludzi z jakiegoś powodu. 
"
R_3MoI6vdvTaXoErG,pol,Phrases calling for aggression or violence against others,Zwroty nawołujące do agresji czy przemocy wobec innych
R_2xxH6pKcUKjNqkf,pol,"insulting others, making fun, discrimination","obrażanie innych, wyśmiewanie, dyskryminacja"
R_3gO4ml0eQjIIRj3,pol,Hate,Hejt
R_410MaDjNJgjAjqp,pol,Threatening or calling to commit a crime against a person/group/organization.,Grożenie lub nawoływanie do popełnienia przestępstwa względem osoby/grupy/organizacji.
R_ZJkTNl0UlKtBqAV,pol,Ataki to the person,Ataki ad personam
R_22xgb7LStf96Xzd,pol,"Insults, insulting due to age, gender, race, texts calling for violence","Wyzwiska, obrażanie ze względu na wiek, płeć, rasę, teksty nawołujące do przemocy"
R_3qW0pmI7Bx4noO7,pol,Urging hatred towards all people from the attacked person group,Nakłanianie do nienawiści wobec wszystkich osób z grupy osoby atakowanej
R_2wpEfhb4U0hqL81,pol,Every direct attack on another person without knowing the situation.No familiarization with the topic.,Każdy bezpośredni Atak na drugiego człowieka bez poznania sytuacji. Brak zapoznania się z tematem.
R_3PX0IjvThe9dc6N,pol,"Racism, religious intolerance.Intolerance of disabled people","Rasizm,nietolerancja religijna. Nietolerancja osób niepełnosprawnych"
R_3nphNTvZlG2xdJq,pol,Notorious harassment of someone or some social group,Notoryczne nękanie kogoś lub jakiejś grupy społecznej
R_3G6yVCdbURi3s3h,pol,Direct threat and humiliation of people in a serious way,Bezpośrednie grożenie i poniżanie osób w poważny sposób
R_OpVMpBAvIFIvOY9,pol,Threatening health or life,Zagrażającą zdrowiu lub życiu
R_bp9DPjhy4Sq1rKp,pol,"Insulting, incurring","Obrażanie, ponizanie"
R_OcxRq3QJtNJXFpT,pol,Hate speech calls for material damage.,Mowa nienawiści nawołuje do szkód materialnych.
R_2YVYUg7liYJU69Q,pol,"Mockery, urging to hurt others, vulgarisms","Szyderstwo, nakłanianie do krzywdzenia innych, wulgaryzmy"
R_3hGgqsLuzxfbkx0,pol,Threats or calling for harm.,Groźby albo nawoływanie do wyrządzenia krzywdy.
R_2f72066Bdp4i1bJ,pol,"""Hate speech"" is a concept that is a tool for political discourse.","""Mowa nienawiści"" to pojęcie będące narzędziem dyskursu politycznego."
R_26avKLys0pZUwS2,pol,"- refers to a specific person or group, not a specific content presented (""you are stupid"" or ""x are stupid"", but not ""what you wrote here is stupid things"") - he is insulting or calls for unlawful actions towards these people (""I do not want any refugees in Poland"" is not hatred; ""pour them into the forest, after all they are bored"")","- odnosi się do konkretnej osoby lub grupy, a nie konkretnej przedstawionej treści (""jesteś głupi"" lub ""X są głupi"", ale nie ""to co tu napisałeś to głupoty"")
- jest obelżywa albo wzywa do bezprawnych działań względem tych osób (""nie chcę w Polsce żadnych uchodźców"" nie jest mową nienawiści; ""wywalać ich do lasu, w końcu się znudzą"" jest)
"
R_24lbMBRft9rUv3e,pol,"The hate speech explicitly calls for punishable acts towards another person - threats, calling for aggression etc.Most often on a racial, cultural or religious background.","Mowa nienawiści jawnie nawołuje do karalnych aktów wobec drugiej osoby - groźby, nawoływanie do agresji etc. najczęściej na tle rasowym, kulturowym czy religijnym."
R_12MsRQOkJOZyJ2i,pol,"With hate speech, I determine the expressions/phrases that are in a nutshell to offend/diminish someone.In my opinion, freedom of speech is something that should not be limited due to the fact that this may cause the opposite of the effects than originally assumed (the government controlling this freedom could use it for their own purposes, as is still happening in the third world countries or in the postSoviet block).To be well understood, I would like to mention that freedom of speech should be regulated by social media owners closely cooperating with law enforcement agencies, which would in practice mean legal responsibility for their words, especially those who explicitly napped to hatred for another person or violence.An additional method of preventing this would be to control people who in the past have already been punished for the same or similar offenses.","Mową nienawiści określam wyrażenia/sformułowania, które w wielkim skrócie mają kogoś obrazić/umniejszyć. Moim zdaniem wolność słowa jest czymś, czego nie powinno się ograniczać z uwagi iż może to wywołać wręcz przeciwnie skutki, niż pierwotnie zakładano(rząd kontrolujący tą wolność mógłby używać tego do własnych celów, tak jak dzieje się to wciąż w krajach trzeciego świata lub w post sowieckim bloku). Aby zostać dobrze zrozumianym, pragnę nadmienić iż wolność słowa powinna niemniej być regulowana przez właścicieli mediów społecznościowych ściśle współpracujących z organami ścigania, co oznaczało by w praktyce odpowiedzialność prawną za swoje słowa, zwłaszcza te nawołujące jawnie do nienawiści do drugiej osoby lub przemocy. Dodatkową metodą zapobieganiu temu byłoby kontrolowanie przez jakiś organ prawny osób, które w przeszłości były już już karane za te same lub podobne wykroczenia."
R_1dMPlBH8JCnqPXL,pol,"Disrespect for the other person.You can talk, comment that this is not your view, but mocking and making fun in my opinion is hate speech.I consider the same hate speech to encourage other people to defile others.","Brak szacunku wobec drugiej osoby. Można rozmawiać, skomentować, że to nie Twój pogląd, ale szydzenie i wyśmiewanie moim zdaniem jest mową nienawiści. Tak samo uważam za mowę nienawiści nakłanianie innych osób do szkalowania innych."
R_3nqmfpr5a3THkg9,pol,Hate speech is an invention of people with leftist views.It is a convenient tool that allows you to censor uncomfortable opinions.,Mowa nienawiści to wymysł ludzi o lewicowych poglądach. Stanowi wygodne narzędzie pozwalające na cenzurowanie niewygodnych opinii.
R_SW4ssFEXXn4xBq9,pol,"Hate speech is a form of message that calls for taming, total suppression of another person by others","Mowa nienawiści, to forma przekazu która nawołuje do gardzenia, totalnego stłamszenia drugiej osoby przez innych"
R_VVbHT8zL8Qjtn7H,pol,"Calling for contempt and hatred and violence against data of persons based on their ethnic, national and/or religious affiliation as well as sexual orientation, sexual identity and/or disability.","Nawoływanie do pogardy i nienawiści oraz przemocy wobec danych osób w oparciu o ich przynależność etniczną, narodową i/lub religijną oraz orientację seksualną, tożsamość płciową i/lub niepełnosprawność."
R_2zqlt5B7S0KwS6w,pol,"Expressing sharp opinions about a group of people or a specific person not because of his actions or behavior, but because of the race, confession of sexual orientation or appearance.Of course, it is also the use of racist, vulgar, degrading, threats, mocking, etc.","Wyrażanie ostrych opinii o grupie ludzi bądź konkretnym człowieku nie że względu na jego czyny czy zachowania , ale że względu na rasę , wyznanie orientację seksualną czy wygląd. Oczywiście jest to też używanie opinii rasistowskich , wulgarnych , poniżających , miotanie gróźb , wyszydzanie itp"
R_25L9P1ayA4P1qPb,pol,The call to violence against groups not navigating violence and nationality not leading aggressive wars.,Nawoływanie do przemocy wobec grup nie nawolyjacych do przemocy oraz narodowości nie prowadzących agresywnych wojen.
R_21upDw3MakpHIjx,pol,"Word attacking and aggression towards another person for views or opinions, without giving arguments that a person may be wrong.","Słowne atakowanie i agresja wobec drugiej osoby za poglądy lub opinie, bez podawania argumentów świadczących, że dana osoba może się mylić."
R_Dc4l8SaoWFNzqfv,pol,"Hate speech is a subjective feeling that everyone uses as they want, when he doesn't like what the other side says.It's not the same as harassment, calling for violence, persecution","Mowa nienawiści to subiektywne odczucie, które każdy wykorzystuje jak chce, kiedy nie podoba mu się co mówi druga strona. To nie to samo co nękanie, nawoływanie do przemocy, prześladowanie"
R_p0rPU3GUNqplm5b,pol,"Hate speech is an active call to physical and mental assault, which is a real threat to health and life.Due to the multiplicity of the definition of mental assault, it is a quintessence problem in the creation of human harm and the very definition of hate speech resulting from the differences in every person's sensitivity.Therefore, my definition can be reduced to physical assault because actions should be taken here and now.","Mowa nienawiści stanowi czynne nawoływanie do napaści fizycznej tudzież psychicznej, która stanowi realne zagrożenie dla zdrowia i życia. Ze względu na wielorakość definicji napaści psychicznej stanowi ona kwintesencyjny problem w stanowieniu krzywdy człowieka i samej definicji mowy nienawiści wynikającej z różnic wrażliwości każdego człowieka. W związku z tym moja definicja może zostać zredukowana do napaści fizycznej, ponieważ działania powinny być podjęte tu i teraz."
R_2fxlWz040DsmnkO,pol,"This term is used for political manipulation, let's not go crazy.The fact that someone will challenge someone on the Internet should not mean anything in people's lives and should be educated about it.Because if it means it is something wrong with them.","Ten termin służy do politycznej manipulacji, nie dajmy się zwariować. To że kogoś ktoś wyzwie w internecie nie powinno nic znaczyć w życiach ludzi i należy ich o tym edukować. Bo jeśli znaczy to z nimi jest coś nie tak."
R_OGMxfWlYziwOvxn,pol,"Calling for exclusion, zohydration and stigmatization.Open calling for murder, exile or elimination from social life.","Nawoływanie do wykluczenia, zohydzanie i stygmatyzowanie. Otwarte nawoływanie do zabójstwa, wygnania czy eliminacji z życia społecznego."
R_20U9CqxEMsgrdwA,pol,This term is senseless and empty.Used mainly by those who have a different opinion from mine and do not accept my views.,"Określenie te jest bezsensowne i puste. Używane głównie przez tych, którzy mają inne zdanie od mojego i nie akceptują moich poglądów."
R_3dHemh8h28sDmG2,pol,"For me, hate speech is the usual spreading of unpleasant/harmful words for the other person or what is worse.",Mową nienawiści jest dla mnie zwykłe szerzenie przykrych/krzywdzących dla drugiej osoby słów lub co gorzej czynów.
R_2uUt1z4YIhCYCMr,pol,"In my opinion, it is difficult to define the thing that is perceived in a subjective way.For some, the post may be funny, neutral for others, and for others hurting. I would define hate speech as words that are intended to offend someone, violate his sense of security or make fun of them. Although not.I would give it only as one of the hate speech criteria. I'm not sure how you can define Mn","Według mnie trudno jest zdefiniować rzecz, która odbierana jest w sposób subiektywny. Dla niektórych post może być śmieszny, dla innych neutralny, a dla innych raniący. 
Mowę nienawiści zdefiniowałabym jako słowa, które mają na celu kogoś urazić, naruszyć jego poczucie bezpieczeństwa lub wyśmiać.
Chociaż nie. To podałabym tylko jako jedno z kryteriów mowy nienawiści. 
Nie jestem pewna jak można MN zdefiniować"
R_2CNdBqTWUCYYfig,pol,"The speech of hatred is all forms of racial, religious and gender or sexual identity prejudices.It is also, for example, disseminating hatred towards doctors fighting Covid-19.In addition, it is, of course, a call to hurt someone, throwing him out of the country, etc.","Mową nienawiści są wszelkie formy uprzedzeń rasowych, religijnych oraz dotyczących płci lub tożsamości płciowej. Jest nią także np. rozpowszechnianie nienawiści wobec lekarzy walczących z COVID-19. Poza tym jest to oczywiście nawoływanie do zrobienia komuś krzywdy, wyrzucenia go z kraju itp."
R_31NTqD1BLa1WtA1,pol,"It is very difficult to define.Certain behaviors can be immediately attributed to a reprehensible narrative, they are certain ""only controversial"" and they meet with oversensitivity.","Bardzo trudno to zdefiniować. Pewne zachowania da się od razu przypisać do nagannej narracji, pewne są ""tylko kontrowersyjne"" a pewne spotykają z przewrażliwieniem."
R_vDfQH1dLhnRpBv3,pol,"Aggressive statements aimed at wounding / discredited / humiliating / introducing a sense of danger / isolation of a person, groups, institutions, e.g. personal attacks not supported by arguments, insults, harassment, encouraging others to crime at the facility of statements, persuading to suicide or self -mutilation","Agresywne wypowiedzi, których celem jest zranienie / zdyskredytowanie / poniżenie / wprowadzenie w poczucie zagrożenia / izolacja osoby, grupy, instytucji np. ataki personalne nie poparte argumentami, obelgi, napastowanie, zachęcanie innych do przestępstwa na obiekcie wypowiedzi, namawianie do samobójstwa lub samookaleczenia"
R_qDzaCciC9mmyaat,pol,"The wish of death, mocking, insulting, humiliation, lying about another person to take him.","Życzenie śmierci, szydzenie, ubliżanie, poniżanie, kłamanie na temat innej osoby, żeby ją zdeskrydetowac."
R_22xMMxl9c1Uy0dA,pol,Something that personally attacks a person and defines it in a negative way with vulgar words or calls to hurt or kill,Coś co osobiście atakuje osobę i definiuje ja w negatywny sposób za pomocą wulgarnych słów lub nawołuje do jej zranienia lub zabicia
R_3KUazYOpAf7q4vM,pol,"Hate speech is a speech that calls for, subordinates to mental or physical violence in relation to a given person or a group of people.","Mowa nienawiści to mowa, która nawołuje, podrzega do psychicznej lub fizycznej przemocy w stosunku do danej osoby lub grupy osób."
R_3oXjvH5Pm9NvDBB,pol,"Serious insulting (e.g. ""garbage""), receiving the right to life and functioning in society, threatening death, beating, harassment, rape","Poważne obrażanie (np. ""śmieć""), odbieranie prawa do życia i funkcjonowania w społeczeństwie, grożenie śmiercią, pobiciem, nękaniem, gwałtem"
R_1igir7LQZj6U1VY,pol,speech to dehumanize units and groups and call for not grants universal rights and obligations,mowa mająca odczłowieczać jednostki i grupy i nawoływać do nieprzyznawania im powszechnych praw i obowiązków
R_3dRFlJRXuw8AepO,pol,"Expressing your opinion in an uncultural and offensive way, discriminatory views, e.g. racism, sexism, etc.","Wyrażanie swojej opinii w niekulturalny i obraźliwy sposób, poglądy dyskryminujące np. rasizm, seksizm itd."
R_2R24Q7AHqgea1UM,pol,Hate speech is statements calling for violence against a specific group of people or striking her dignity or attributing its features of a clearly negative character.,Mowa nienawiści to wypowiedzi nawołujące do przemocy wobec określonej grupy osób lub urągajce jej godności albo przypisujące jej cechy o nacechowaniu wyraźnie negatywnym.
R_09rX9WhfqsXu9l7,pol,"It is a call for persecution of social groups of communities or individuals, it is not an ordinary ad personam.","Jest to nawoływanie do prześladowań danych grup społecznych społeczności bądź jednostek, nie jest to zwykłe ad personam."
R_2PtiX7BI0D7yVy3,pol,"Public and privately sent threats relating to origin, skin color, religion, sex, sexual orientation.Public lynching and ridicule on forums or social media.Intent Bodyshaming, public revelation of personal data to hinder the life of the other person.","Publicznie i prywatnie wysyłane groźby odnoszące się do pochodzenia,koloru skóry,religii,płci,orientacji seksualnej. Publiczny lincz i ośmieszanie na forach czy mediach społecznościowych. Intencyjny bodyshaming,publiczne wyjawianie danych personalnych w celu utrudnienia życia drugiej osobie."
R_3fYO7YlkYPKr3Sg,pol,"Dehumanization, calling to murder, something that objectively by most people is considered hateful.","Dehumanizowanie, nawoływanie do morderstwa, coś co obiektywnie przez większość ludzi jest uznawane za nienawistne."
R_3IYm2OzcClcRM3Z,pol,"Personally, I would define 'hate speech' as denying dignity to other people for any reason.",Osobiście zdefiniowałabym 'mowę nienawiści' jako odmawianie godności drugiemu człowiekowi z jakiegokolwiek powodu.
R_OqwEiE9Fsu2NyUh,pol,"Hate speech urges action, orders and arouses aggressions and the need to impose their own justice.","Mowa nienawiści namawia do działania, nakazuje i wzbudza w ludziach agresje i potrzebę wymierzenia własnej sprawiedliwości."
R_CeQ6iuBmAq0bnrP,pol,"Hate speech is a direct penetration for violence, persecution and taking radline actions to the minorities.Occurs only when the words are sofaed, unjustified threats on the racial, sexual background, etc. Hate speech is therefore not to mock someone character traits or appearance","Mowa nienawiści to bezpośrednie nawol6wanie do przemocy, prześladowań oraz podejmowania radyklanych działań wobec mniejszości.  Występuje jedynie wtedy gdy słowa zaiwrraja bezpodstawne groźby na tle rasowym, płciowym itp. Mowa nienawiści zatem nie jest szydzenie z czyiś  cech charakteru bądź wyglądu"
R_Asuk8Ltp6nhgKNX,pol,Hate speech is a call to reluctance or aggression to a group or a person based on false beliefs or stereotypes,Mowa nienawiści to nawoływanie do niechęci bądź agresji do grupy lub osoby na podstawie fałszywych przekonań lub stereotypów
R_1jIkJ8ZRfuBWEa6,pol,"There is no such thing as hate speech.We are only us.Gray people who want them to be noticed among hundreds of thousands of other gray people, but in the sheer volume of information we are able to catch and remember only extremes and extreme statements.""Hate speech"" is a side product of human consciousness that is unable to cope with a million shades of gray and, if not wanting, it portions reality on ""white"" and ""black"".","Nie ma czegoś takiego jak mowa nienawiści. Jesteśmy tylko my. Szarzy ludzie którzy chcą żeby ich zauważono pośród setek tysięcy innych szarych ludzi, ale w natłoku informacji jesteśmy w stanie wyłapać i zapamiętać jedynie skrajności i skrajne wypowiedzi. ""Mowa nienawiści"" jest produktem ubocznym świadomości ludzkiej która nie jest w stanie sobię poradzić z milionem odcieni koloru szarego i chcąc nie chcąc porcjuje rzeczywistość na ""białe"" i ""czarne""."
R_8BPN9FR8rT29WRb,pol,"All in all, it makes me laugh that people are offended if someone writes on the internet.The term ""hate speech"" is definitely abused in these times, moreover, not only it.","W sumie śmieszy mnie, że ludzie obrażają się jak ktoś coś napisze w internecie. Określenie ""mowa nienawiści"" jest zdecydowanie nadużywane w tych czasach, zresztą nie tylko ono."
R_3m8mNZLfBTEDP5m,pol,I consider hate speech to be a construct with blurred limits used to limit freedom of speech and opinions.,Uważam mowę nienawiści za konstrukt o rozmytych granicach służący do ograniczania wolności słowa i opinii.
R_3qrGmrhbVPchNsb,pol,"Speech, which, especially when it becomes widely repeated, entails someone's harm - either through physical attacks or by discrimination.","Mowa, która szczególnie wtedy, gdy staje się powszechnie powtarzana, pociąga za sobą czyjąś krzywdę – albo przez fizyczne ataki, albo przez dyskryminację."
R_6R51mKGxFLHsaaZ,pol,"There is no such thing as hate speech, it is simply a fancy term for all statements that do not agree with the views of people for whom mayonnaise is spicy","Nie istnieje coś takiego jak mowa nienawiści, jest to po prostu fikuśne określenie wszystkich wypowiedzi które nie zgadzają się z poglądami ludzi dla których majonez jest pikantny"
R_2XbQFHxcaqlRgOJ,pol,"The person does not present his own position, but uses profanity directly towards a person from whom he does not agree.","Osoba nie przedstawia własnego stanowiska tylko używa wulgaryzmów bezpośrednio wobec osoby, z której stanowiskiem się nie zgadza."
R_OD3ZjGuXwt2FmuJ,pol,"Most of the presented statements did not have the status of hate speech for me.Only one statement had such a character, because it called for aggression and expressed reluctance to a specific group.In my opinion, hate speech must have a strong component of ""hate""- call for crimes a different group.Calling someone stupid, ugly ect. There is no hatred.","Większość prezentowanych wypowiedzi nie miało dla mnie statusu mowy nienawiści. Tylko jedna wypowiedź miała taki charakter, bo nawoływała do agresji i wyrażała niechęć do specyficznej grupy. Według mnie, mowa nienawiści musi mieć silną komponentę ""nienawiści""- nawoływać do przestępstw wzgl demo innej grupy. Nazwanie ktoś głupim, brzydkim ect. Nie jest mowa nienawiści."
R_2sRPMcp4oU5rx6u,pol,"For me, hate speech is an active call for violence.Simple jokes, black humor or right -wing opinions are not hate.","Dla mnie mowa nienawiści to aktywne nawoływanie do przemocy. Proste żarty, czarny humor, czy prawicowe opinie to nie mowa nienawiści."
R_2ysI5MaALAj5twa,pol,"Every kind of ridicule of people because of the skin color, political views, sexual preferences, etc.","Każdy rodzaj wyśmiewania się z ludzi ze  względu na kolor skóry, poglądy polityczne, preferencje seksualne itp"
R_3EtEU3Fadrmg1iE,pol,"There is no such thing as hate speech.You can be a bad and mean man, but the term ""hate speech"" is the politicized buzzword meaning everything that is uncomfortable for the party.","Nie ma czegoś takiego jak mowa nienawiści. Można być złym i wrednym człowiekiem, ale określenie ""mowy nienawiści"" to upolityczniony buzzword oznaczający wszystko co jest niewygodne dla partii."
R_3oQQrAcCNHRs7Lr,pol,"Calling for violence against specific people or groups, as well as mental violence and insulting people and their features (but not behavior)","Nawoływanie do przemocy wobec konkretnych osób czy grup, a także przemoc psychiczna i znieważanie osób i ich cech (ale nie zachowań)"
R_3ENoigllIvSeE8r,pol,"Hate speech is a too popular term that serves everything and the fight against religion.It is worth noting that in the examples it was ""right -wingers"" that had bad answers, and the leftists were good. It was the left. It was the left. It was a victim. To talk about hatred, it should be emphasized that the left also often attacks the right, ""it's a pity that someone doesn'tHe scraped out. ""I just remember as part of justice.In my opinion, hate speech is a call to physical and mental aggression against individuals/groups and insulting them.It is also a hypocrisy of light from both sides.This does not apply to minorities or most.This applies to everyone without exception.","Mowa nienawiści jest to zbyt popularne określenie które służy wszystkiemu i walką z religią. Warto zauważyć, że w podanych przykładach to właśnie ,, prawicowcy"" mieli źle odpowiedzi, a lewicowcy te dobre. To lewica była ofiarą. Żeby mówić o mówię nienawiści, trzeba podkreślić, że często lewica też atakuje prawicę ,,szkoda, że cię ktoś nie wyskrobał"". Tak tylko wspominam w ramach sprawiedliwości. Mowa nienawiści to według mnie nawoływanie do fizycznej i psychicznej agresji przeciwko jednostkom/grupom oraz ich obrażanie. To także zakłamanie światła z OBYDWU stron. To nie dotyczy mniejszości, ani większości. To dotyczy wszystkich bez wyjątku."
R_2zpxNTKcSMmt2E7,pol,"Calling to violence, restriction of liberty or threatening with violence or other measurable activities.","Nawoływanie do przemocy, ograniczenia wolności lub grożenie przemocą lub innymi wymiernymi działaniami."
R_3nkmr5L15azOOdc,pol,I think about hate speech as an active speaking person content that they offer self -mutilation or suicide,Myśle o mowie nienawiści jako aktywnym mówieniu osobie treści które proponują mu samookaleczenie bądź samobójstwo
R_SJG6vlmdr6Epo3L,pol,As an invention of leftists to introduce limitations of freedom of speech.The approach taken straight from totalitarian ideologies.,Jako wymysł lewaków by wprowadzać ograniczanie wolności słowa. Podejście wzięte wprost z totalitarnych ideologii.
R_33eZaYqd0z4DShC,pol,"Offending others for their views, calling for violence, promoting fascism and sexual deviations (pedophilia, zoophilia).","Obrażanie innych za ich poglądy, nawoływanie do przemocy, promowanie faszyzmu i dewiacji seksualnych (pedofilia, zoofilia)."
R_8v9BKD4D3jK4hDH,pol,"Telling women raising children that they are lazy cows who do not want to do and home chickens are hate speech currently promoted by world managers, accepted by Facebook and others.This hate speech is presented as a speech for the love of poor women oppressed by motherhood, so that they abandon these unfashionable and disgusting classes.And the population will decrease .... but don't ride these children.","Mówienie kobietom wychowującym dzieci, że są leniwymi krowami którym się robić nie chce i kurami domowymi to promowana aktualnie przez zarządców świata mowa nienawiści, akceptowana przez Facebook i innych. Ta mowa nienawiści jest przedstawiana jako mowa z miłości do biednych kobiet uciskanych przez macierzyństwo , żeby porzuciły te niemodne i obrzydliwe zajęcia. A zaludnienie się zmniejszy....tylko nie rodźcie tych dzieci."
R_AGPr3zz07H6rWjn,pol,"For me, hate speech is every incitement to hurt someone.Everyone has their own opinion, on a given topics and should not prohibit the speech on every issue, and the other party should in an intelligent way 9b present their arguments","Dla mnie mową nienawiści jest każde podżeganie do wyrządzenia komuś krzywdy. Każdy ma swoje zdanie, na dane tematy i nie powinno zabraniać się wypowiadania w każdej kwestii, a druga strona powinna w inteligentny sposil9b przedstawić swoje racje"
R_2b3gAXYxeEbxHPK,idn,"Attack and threaten physically, SARA and political views","Menyerang dan mengancam secara fisik, SARA dan pandangan politik"
R_2txmsjQw1c3pHew,idn,Make other people provoked,Membuat orang lain terprovokasi
R_3sBOfVS5LYBJePq,idn,Expressions of hatred towards individuals / groups,Ungkapan kebencian terhadap individu / Kelompok
R_1roA7VANwRyhMH5,idn,"Utterance of hatred is a statement that drops ethnicity, race, certain religion","Ujaran kebencian adalah pernyataan yang menjatuhkan suku, ras, agama tertentu"
R_3rP4Qd5cVAYPr6k,idn,Everyone is free to argue.As long as it does not harm others,Semua orang bebas berpendapat. Selama tidak merugikan orang lain
R_3nip2pOP0q51XBj,idn,Degrading the dignity of the other,Merendahkan martabat pihak lain
R_3nDzseRHfinqSs0,idn,Anti -expressions of other people's beliefs,Ungkapan anti terhadap keyakinan orang lain
R_UXuUyKALmE9mOfT,idn,"The hate speech is simple: 1. offending SARA, 2. Attacking Personal.","Ujaran kebencian itu sederhana: 1. menyinggung SARA, 2. Menyerang personal."
R_239wS245kaGvR8k,idn,A writing that threatens and insults people,Suatu tulisan yang mengancam dan menghina orang
R_3p9fKdgmTFghJ6k,idn,is the freedom that must be limited,merupakn kebebasan yang harus dibatasi
R_3qmlZsQZL535192,idn,No comment,No comment
R_3FUQzkDajVC8Tjy,idn,No,Tidak
